date,home,HG,AG,away
2024-09-19,Atalanta,0,0,Arsenal
2024-10-01,Arsenal,2,0,Paris Saint-Germain
2024-10-22,Arsenal,1,0,Shakhtar Donetsk
2024-11-06,Inter,1,0,Arsenal
2024-11-26,Sporting CP,1,5,Arsenal
2024-12-11,Arsenal,3,0,Monaco
2025-01-22,Arsenal,3,0,GNK Dinamo
2025-01-29,Girona,1,2,Arsenal
2024-09-17,Young Boys,0,3,Aston Villa
2024-10-02,Aston Villa,1,0,Bayern München
2024-10-22,Aston Villa,2,0,Bologna
2024-11-06,Club Brugge,1,0,Aston Villa
2024-11-27,Aston Villa,0,0,Juventus
2024-12-10,Leipzig,2,3,Aston Villa
2025-01-21,Monaco,1,0,Aston Villa
2025-01-29,Aston Villa,4,2,Celtic
2024-10-02,Shakhtar Donetsk,0,3,Atalanta
2024-10-23,Atalanta,0,0,Celtic
2024-11-06,Stuttgart,0,2,Atalanta
2024-11-26,Young Boys,1,6,Atalanta
2024-12-10,Atalanta,2,3,Real Madrid
2025-01-21,Atalanta,5,0,Sturm Graz
2025-01-29,Barcelona,2,2,Atalanta
2024-09-19,Atlético de Madrid,2,1,Leipzig
2024-10-02,Benfica,4,0,Atlético de Madrid
2024-10-23,Atlético de Madrid,1,3,Lille
2024-11-06,Paris Saint-Germain,1,2,Atlético de Madrid
2024-11-26,Sparta Praha,0,6,Atlético de Madrid
2024-12-11,Atlético de Madrid,3,1,Slovan Bratislava
2025-01-21,Atlético de Madrid,2,1,Bayer Leverkusen
2025-01-29,Salzburg,1,4,Atlético de Madrid
2024-09-19,Monaco,2,1,Barcelona
2024-10-01,Barcelona,5,0,Young Boys
2024-10-23,Barcelona,4,1,Bayern München
2024-11-06,Crvena Zvezda,2,5,Barcelona
2024-11-26,Barcelona,3,0,Brest
2024-12-11,Borussia Dortmund,2,3,Barcelona
2025-01-21,Benfica,4,5,Barcelona
2024-09-17,Bayern München,9,2,GNK Dinamo
2024-11-06,Bayern München,1,0,Benfica
2024-11-26,Bayern München,1,0,Paris Saint-Germain
2024-12-10,Shakhtar Donetsk,1,5,Bayern München
2025-01-22,Feyenoord,3,0,Bayern München
2025-01-29,Bayern München,3,1,Slovan Bratislava
2024-09-19,Crvena Zvezda,1,2,Benfica
2024-10-23,Benfica,1,3,Feyenoord
2024-11-27,Monaco,2,3,Benfica
2024-12-11,Benfica,0,0,Bologna
2025-01-29,Juventus,0,2,Benfica
2024-09-18,Bologna,0,0,Shakhtar Donetsk
2024-10-02,Liverpool,2,0,Bologna
2024-10-22,Aston Villa,2,0,Bologna
2024-11-05,Bologna,0,1,Monaco
2024-11-27,Bologna,1,2,Lille
2025-01-21,Bologna,2,1,Borussia Dortmund
2025-01-29,Sporting CP,1,1,Bologna
2024-09-19,Brest,2,1,Sturm Graz
2024-10-01,Salzburg,0,4,Brest
2024-10-23,Brest,1,1,Bayer Leverkusen
2024-11-06,Sparta Praha,1,2,Brest
2024-12-10,Brest,1,0,PSV Eindhoven
2025-01-22,Shakhtar Donetsk,2,0,Brest
2025-01-29,Brest,0,3,Real Madrid
2024-09-18,Celtic,5,1,Slovan Bratislava
2024-10-01,Borussia Dortmund,7,1,Celtic
2024-11-05,Celtic,3,1,Leipzig
2024-11-27,Celtic,1,1,Club Brugge
2024-12-10,GNK Dinamo,0,0,Celtic
2025-01-22,Celtic,1,0,Young Boys
2024-09-18,Club Brugge,0,3,Borussia Dortmund
2024-10-02,Sturm Graz,0,1,Club Brugge
2024-10-22,AC Milan,3,1,Club Brugge
2024-12-10,Club Brugge,2,1,Sporting CP
2025-01-21,Club Brugge,0,0,Juventus
2025-01-29,Manchester City,3,1,Club Brugge
2024-10-01,Inter,4,0,Crvena Zvezda
2024-10-22,Monaco,5,1,Crvena Zvezda
2024-11-27,Crvena Zvezda,5,1,Stuttgart
2024-12-11,AC Milan,2,1,Crvena Zvezda
2025-01-21,Crvena Zvezda,2,3,PSV Eindhoven
2025-01-29,Young Boys,0,1,Crvena Zvezda
2024-10-22,Real Madrid,5,2,Borussia Dortmund
2024-11-05,Borussia Dortmund,1,0,Sturm Graz
2024-11-27,GNK Dinamo,0,3,Borussia Dortmund
2025-01-29,Borussia Dortmund,3,1,Shakhtar Donetsk
2024-09-19,Feyenoord,0,4,Bayer Leverkusen
2024-10-02,Girona,2,3,Feyenoord
2024-11-06,Feyenoord,1,3,Salzburg
2024-11-26,Manchester City,3,3,Feyenoord
2024-12-11,Feyenoord,4,2,Sparta Praha
2025-01-29,Lille,6,1,Feyenoord
2024-09-18,Paris Saint-Germain,1,0,Girona
2024-10-22,Girona,2,0,Slovan Bratislava
2024-11-05,PSV Eindhoven,4,0,Girona
2024-11-27,Sturm Graz,1,0,Girona
2024-12-10,Girona,0,1,Liverpool
2025-01-22,AC Milan,1,0,Girona
2024-10-02,GNK Dinamo,2,2,Monaco
2024-10-23,Salzburg,0,2,GNK Dinamo
2024-11-05,Slovan Bratislava,1,4,GNK Dinamo
2025-01-29,GNK Dinamo,2,1,AC Milan
2024-09-18,Manchester City,0,0,Inter
2024-10-23,Young Boys,0,1,Inter
2024-11-26,Inter,1,0,Leipzig
2024-12-10,Bayer Leverkusen,1,0,Inter
2025-01-22,Sparta Praha,0,1,Inter
2025-01-29,Inter,3,0,Monaco
2024-09-17,Juventus,3,1,PSV Eindhoven
2024-10-02,Leipzig,2,3,Juventus
2024-10-22,Juventus,0,1,Stuttgart
2024-11-05,Lille,1,1,Juventus
2024-12-11,Juventus,2,0,Manchester City
2024-10-23,Leipzig,0,1,Liverpool
2025-01-22,Leipzig,2,1,Sporting CP
2025-01-29,Sturm Graz,1,0,Leipzig
2024-10-01,Bayer Leverkusen,1,0,AC Milan
2024-11-05,Liverpool,4,0,Bayer Leverkusen
2024-11-26,Bayer Leverkusen,5,0,Salzburg
2025-01-29,Bayer Leverkusen,2,0,Sparta Praha
2024-09-17,Sporting CP,2,0,Lille
2024-10-02,Lille,1,0,Real Madrid
2024-12-11,Lille,3,2,Sturm Graz
2025-01-21,Liverpool,2,1,Lille
2024-09-17,AC Milan,1,3,Liverpool
2024-11-27,Liverpool,2,0,Real Madrid
2025-01-21,Liverpool,2,1,Lille
2025-01-29,PSV Eindhoven,3,2,Liverpool
2024-10-01,Slovan Bratislava,0,4,Manchester City
2024-10-23,Manchester City,5,0,Sparta Praha
2024-11-05,Sporting CP,4,1,Manchester City
2025-01-22,Paris Saint-Germain,4,2,Manchester City
2025-01-29,Manchester City,3,1,Club Brugge
2024-11-05,Real Madrid,1,3,AC Milan
2024-11-26,Slovan Bratislava,2,3,AC Milan
2024-10-22,Paris Saint-Germain,1,1,PSV Eindhoven
2024-12-10,Salzburg,0,3,Paris Saint-Germain
2025-01-29,Stuttgart,1,4,Paris Saint-Germain
2024-10-01,PSV Eindhoven,1,1,Sporting CP
2024-11-27,PSV Eindhoven,3,2,Shakhtar Donetsk
2024-09-17,Real Madrid,3,1,Stuttgart
2024-11-05,Real Madrid,1,3,Milan
2025-01-22,Real Madrid,5,1,Salzburg
2024-09-18,Sparta Praha,3,0,Salzburg
2024-11-06,Shakhtar Donetsk,2,1,Young Boys
2025-01-21,Slovan Bratislava,1,3,Stuttgart
2024-10-01,Stuttgart,1,1,Sparta Praha
2024-10-22,Sturm Graz,0,2,Sporting CP
2024-12-11,Stuttgart,5,1,Young Boys
